Week_Ending_Date;Week number;month;year;Season;Sum attendance emergency;Diferencia atttendance;Attendance de la semana anterior en emergencias;Attendance de la semana anterior;Semana con fecha de fin de mes;Semana con holidays;NHS_Board_Code;NHS_Board_Name;Location_Code;Location_Name;Attendance;Number_Over_4_Hours;Percentage_Within_4_Hours;Number_Over_8_Hours;Percentage_Within_8_Hours;Number_Over_12_Hours;Percentage_Within_12_Hours;Data_Source;Fundacion;Beds;Number location;Location_Name
42057;9;2;2015;0;203;914;112;1025;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1117;164;85;36;97;3;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42064;10;3;2015;0;163;948;203;914;1;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1111;149;87;14;99;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42071;11;3;2015;0;120;963;163;948;0;1;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1083;111;90;9;99;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42078;12;3;2015;0;126;924;120;963;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1050;107;90;17;98;2;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42085;13;3;2015;0;141;944;126;924;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1085;131;88;10;99;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42092;14;3;2015;0;88;972;141;944;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1060;83;92;5;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42099;15;4;2015;0;124;1003;88;972;1;1;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1127;121;89;3;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42106;16;4;2015;0;105;957;124;1003;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1062;94;91;10;99;1;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42113;17;4;2015;0;88;1016;105;957;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1104;83;93;5;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42120;18;4;2015;0;72;1007;88;1016;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1079;67;94;5;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42127;19;5;2015;1;117;912;72;1007;1;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1029;110;89;7;99;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42134;20;5;2015;1;89;965;117;912;0;1;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1054;86;92;3;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
